month,date,open,high,low,close,volume,shares_bought,total_shares,total_invested,portfolio_value
2002-01,2002-01-04,1643.485,1643.5,1608.829,1611.393,302848200,0.6205810748836565,224.6245752188784,134000,361958.46813567413
2002-02,2002-02-01,1494.577,1507.639,1480.77,1485.77,1340407400,0.6730516836387866,225.29762690251718,135000,334740.45512295293
2002-03,2002-03-01,1521.528,1521.567,1501.556,1502.54,571162600,0.6655396861314841,225.96316658864868,136000,339518.6963261082
2002-04,2002-04-01,1598.026,1609.917,1589.407,1608.506,667969600,0.6216949144112611,226.58486150305993,137000,364463.1092368409
2002-05,2002-05-08,1669.871,1670.917,1651.691,1652.368,475011600,0.6051920637533528,227.19005356681328,138000,375401.5744320881
2002-06,2002-06-03,1510.247,1510.259,1480.085,1483.348,517919600,0.674150637611673,227.86420420442494,139000,338001.9115782253
2002-07,2002-07-01,1736.293,1740.381,1712.772,1713.705,1551928300,0.5835310044610945,228.44773520888603,140000,391492.026066144
2002-08,2002-08-01,1650.054,1659.966,1639.225,1653.008,482500800,0.6049577497507574,229.05269295863678,141000,378625.9338821703
2002-09,2002-09-02,1666.341,1669.905,1663.172,1668.774,344460800,0.5992423180131042,229.65193527664988,142000,383237.1786393561
2002-10,2002-10-08,1577.052,1577.052,1558.476,1562.993,262379200,0.6397981308937404,230.29173340754363,143000,359944.3672738568
2002-11,2002-11-01,1507.383,1511.095,1498.213,1510.76,358179600,0.6619185045937144,230.95365191213733,144000,348915.53916278057
2002-12,2002-12-02,1432.029,1432.029,1394.911,1395.675,669514300,0.7164991849821771,231.67015109711951,145000,323336.23813247227
2003-01,2003-01-02,1347.433,1351.344,1317.468,1320.63,506568900,0.7572143598131195,232.42736545693265,146000,306950.551643389
2003-02,2003-02-10,1499.166,1499.641,1477.517,1480.169,667252700,0.6755985296273601,233.10296398656,147000,345031.78110102256
2003-03,2003-03-03,1511.585,1525.699,1511.045,1525.483,877537900,0.6555300845699362,233.75849407112995,148000,356594.6088111095
2003-04,2003-04-01,1513.001,1525.235,1508.844,1522.546,1333173800,0.6567946058772608,234.4152886770072,149000,356908.06011402264
2003-05,2003-05-12,1522.981,1536.893,1511.871,1531.867,1549740900,0.6527981867877564,235.06808686379495,150000,360093.045019781
2003-06,2003-06-02,1577.987,1578.868,1564.611,1576.528,1166830400,0.6343052581368679,235.7023921219318,151000,371591.4208472049
2003-07,2003-07-01,1485.521,1502.571,1482.82,1484.704,663315800,0.6735349268271655,236.37592704875897,152000,350948.28439300065
